trade_time,open,high,low,close,volume,amount
2023-02-27 14:00:00,4.012,4.012,4.011,4.012,1018,408367.0
2023-02-27 14:30:00,4.012,4.012,4.009,4.012,129879,52096876.0
2023-02-27 15:00:00,4.012,4.012,4.009,4.01,94446,37879641.0
2023-02-28 10:00:00,4.017,4.02,4.017,4.017,127162,51105904.0
2023-02-28 10:30:00,4.017,4.018,4.016,4.018,297338,119447248.0
2023-02-28 11:00:00,4.018,4.02,4.017,4.018,390254,156823098.0
2023-02-28 11:30:00,4.018,4.018,4.014,4.015,111745,44872239.0
2023-02-28 13:30:00,4.015,4.015,4.013,4.013,43056,17283422.0
2023-02-28 14:00:00,4.013,4.015,4.013,4.014,88134,35377535.0
2023-02-28 14:30:00,4.014,4.016,4.014,4.015,76775,30826608.0
2023-02-28 15:00:00,4.015,4.017,4.015,4.015,161974,65043972.0
2023-03-01 10:00:00,4.029,4.03,4.024,4.028,379322,152734726.0
2023-03-01 10:30:00,4.028,4.028,4.026,4.028,183977,74096237.0
2023-03-01 11:00:00,4.028,4.028,4.026,4.028,316170,127335225.0
2023-03-01 11:30:00,4.028,4.029,4.027,4.028,215408,86756734.0
2023-03-01 13:30:00,4.027,4.028,4.025,4.025,223637,90043390.0
2023-03-01 14:00:00,4.026,4.026,4.024,4.024,174448,70212317.0
2023-03-01 14:30:00,4.024,4.027,4.024,4.027,253811,102182329.0
2023-03-01 15:00:00,4.027,4.031,4.027,4.029,228928,92234362.0
2023-03-02 10:00:00,4.02,4.02,4.017,4.019,225309,90539706.0
2023-03-02 10:30:00,4.019,4.021,4.019,4.021,344432,138464378.0
2023-03-02 11:00:00,4.021,4.021,4.018,4.019,252059,101317341.0
2023-03-02 11:30:00,4.019,4.022,4.019,4.022,467887,188123913.0
2023-03-02 13:30:00,4.022,4.024,4.021,4.023,110266,44355326.0
2023-03-02 14:00:00,4.023,4.027,4.022,4.026,389576,156780839.0
2023-03-02 14:30:00,4.026,4.027,4.025,4.026,187552,75501121.0
2023-03-02 15:00:00,4.026,4.026,4.025,4.026,62553,25181546.0
2023-03-03 10:00:00,4.038,4.04,4.035,4.038,364688,147242092.0
2023-03-03 10:30:00,4.038,4.039,4.036,4.036,327796,132349487.0
2023-03-03 11:00:00,4.037,4.038,4.036,4.038,125607,50713714.0
2023-03-03 11:30:00,4.038,4.039,4.037,4.039,198687,80232715.0
2023-03-03 13:30:00,4.038,4.038,4.037,4.037,63872,25788467.0
2023-03-03 14:00:00,4.037,4.04,4.037,4.039,201567,81415640.0
2023-03-03 14:30:00,4.039,4.044,4.039,4.043,261143,105533074.0
2023-03-03 15:00:00,4.043,4.045,4.042,4.044,190031,76838390.0
2023-03-06 10:00:00,4.063,4.07,4.063,4.069,214846,87391084.0
2023-03-06 10:30:00,4.069,4.07,4.067,4.069,234967,95591135.0
2023-03-06 11:00:00,4.069,4.07,4.067,4.07,289309,117712584.0
2023-03-06 11:30:00,4.07,4.071,4.069,4.07,396199,161253819.0
2023-03-06 13:30:00,4.071,4.072,4.07,4.072,305123,124219915.0
2023-03-06 14:00:00,4.072,4.073,4.07,4.072,182663,74369009.0
2023-03-06 14:30:00,4.072,4.073,4.071,4.072,41573,16929122.0
2023-03-06 15:00:00,4.072,4.074,4.07,4.071,117856,47992718.0
2023-03-07 10:00:00,4.072,4.078,4.068,4.076,208754,85055884.0
2023-03-07 10:30:00,4.076,4.079,4.076,4.078,349716,142607327.0
2023-03-07 11:00:00,4.078,4.078,4.075,4.077,513735,209421224.0
2023-03-07 11:30:00,4.077,4.078,4.076,4.078,289163,117886904.0
2023-03-07 13:30:00,4.077,4.078,4.076,4.077,151367,61712444.0
2023-03-07 14:00:00,4.077,4.079,4.076,4.077,157005,64018927.0
2023-03-07 14:30:00,4.077,4.078,4.075,4.077,204891,83531229.0
2023-03-07 15:00:00,4.077,4.078,4.076,4.076,550610,224477706.0
2023-03-08 10:00:00,4.032,4.036,4.031,4.035,253416,102236435.0
2023-03-08 10:30:00,4.034,4.035,4.033,4.033,96774,39039197.0
2023-03-08 11:00:00,4.034,4.037,4.033,4.035,733859,296069153.0
2023-03-08 11:30:00,4.035,4.037,4.032,4.034,191992,77461045.0
2023-03-08 13:30:00,4.034,4.036,4.034,4.035,51868,20927877.0
2023-03-08 14:00:00,4.035,4.036,4.034,4.035,185056,74670931.0
2023-03-08 14:30:00,4.035,4.035,4.032,4.032,81459,32854039.0
2023-03-08 15:00:00,4.032,4.034,4.029,4.033,223720,90208016.0
2023-03-09 10:00:00,4.032,4.033,4.031,4.033,175640,70822514.0
2023-03-09 10:30:00,4.032,4.034,4.032,4.032,150100,60532097.0
2023-03-09 11:00:00,4.032,4.034,4.032,4.033,159532,64339552.0
2023-03-09 11:30:00,4.033,4.034,4.032,4.032,203995,82263562.0
2023-03-09 13:30:00,4.033,4.036,4.033,4.035,121614,49063467.0
2023-03-09 14:00:00,4.036,4.038,4.035,4.038,419553,169376133.0
