symbol,trade_time,open,high,low,close,volume,amount
518880.SH,2024-12-12 13:30:00,6.04,6.041,6.039,6.041,89672,54164332.0
518880.SH,2024-12-12 14:00:00,6.04,6.048,6.039,6.045,273838,165475183.0
518880.SH,2024-12-12 14:30:00,6.045,6.046,6.038,6.044,253922,153378872.0
518880.SH,2024-12-12 15:00:00,6.044,6.054,6.041,6.052,347848,210288329.0
518880.SH,2024-12-13 10:00:00,6.016,6.018,6.005,6.011,716412,430758197.0
518880.SH,2024-12-13 10:30:00,6.011,6.011,6.003,6.006,443090,266107489.0
518880.SH,2024-12-13 11:00:00,6.006,6.011,6.0,6.001,290298,174304391.0
518880.SH,2024-12-13 11:30:00,6.002,6.009,6.001,6.009,164109,98541978.0
518880.SH,2024-12-13 13:30:00,6.009,6.009,6.003,6.006,111796,67146623.0
518880.SH,2024-12-13 14:00:00,6.004,6.007,6.001,6.006,159807,95957182.0
518880.SH,2024-12-13 14:30:00,6.007,6.007,5.996,5.997,275923,165556567.0
518880.SH,2024-12-13 15:00:00,5.997,6.003,5.991,6.001,524989,314919615.0
518880.SH,2024-12-16 10:00:00,5.945,5.95,5.937,5.942,698894,415325696.0
518880.SH,2024-12-16 10:30:00,5.942,5.942,5.933,5.939,360391,213976916.0
518880.SH,2024-12-16 11:00:00,5.939,5.942,5.936,5.938,364501,216461285.0
518880.SH,2024-12-16 11:30:00,5.938,5.944,5.937,5.941,205005,121775018.0
518880.SH,2024-12-16 13:30:00,5.944,5.944,5.937,5.94,158001,93865785.0
518880.SH,2024-12-16 14:00:00,5.939,5.941,5.935,5.94,200715,119177521.0
518880.SH,2024-12-16 14:30:00,5.94,5.943,5.939,5.943,193248,114812891.0
518880.SH,2024-12-16 15:00:00,5.943,5.948,5.942,5.947,333142,198031484.0
518880.SH,2024-12-17 10:00:00,5.957,5.97,5.957,5.968,748825,446667027.0
518880.SH,2024-12-17 10:30:00,5.967,5.968,5.958,5.961,332724,198413281.0
518880.SH,2024-12-17 11:00:00,5.961,5.961,5.953,5.956,258255,153834042.0
518880.SH,2024-12-17 11:30:00,5.956,5.957,5.95,5.955,161865,96376531.0
518880.SH,2024-12-17 13:30:00,5.953,5.954,5.946,5.95,213927,127283057.0
518880.SH,2024-12-17 14:00:00,5.95,5.954,5.945,5.951,264704,157490204.0
518880.SH,2024-12-17 14:30:00,5.951,5.953,5.937,5.94,297242,176747861.0
518880.SH,2024-12-17 15:00:00,5.939,5.944,5.936,5.94,261030,155037563.0
518880.SH,2024-12-18 10:00:00,5.942,5.948,5.939,5.942,349431,207688802.0
518880.SH,2024-12-18 10:30:00,5.943,5.943,5.936,5.937,207640,123322120.0
518880.SH,2024-12-18 11:00:00,5.936,5.937,5.933,5.934,190943,113330244.0
518880.SH,2024-12-18 11:30:00,5.935,5.937,5.931,5.932,165139,97985252.0
518880.SH,2024-12-18 13:30:00,5.932,5.936,5.929,5.934,183802,109033580.0
518880.SH,2024-12-18 14:00:00,5.935,5.939,5.934,5.936,168933,100293879.0
518880.SH,2024-12-18 14:30:00,5.936,5.936,5.93,5.932,265236,157337289.0
518880.SH,2024-12-18 15:00:00,5.933,5.933,5.929,5.932,304312,180489464.0
518880.SH,2024-12-19 10:00:00,5.867,5.906,5.867,5.887,1182104,695939750.0
518880.SH,2024-12-19 10:30:00,5.887,5.89,5.881,5.885,391485,230361445.0
518880.SH,2024-12-19 11:00:00,5.884,5.887,5.875,5.885,377999,222298005.0
518880.SH,2024-12-19 11:30:00,5.886,5.888,5.878,5.88,337333,198481051.0
518880.SH,2024-12-19 13:30:00,5.881,5.884,5.881,5.882,244155,143616994.0
518880.SH,2024-12-19 14:00:00,5.882,5.885,5.879,5.879,351740,206881702.0
518880.SH,2024-12-19 14:30:00,5.879,5.882,5.871,5.879,407661,239556476.0
518880.SH,2024-12-19 15:00:00,5.88,5.888,5.879,5.885,329862,194123053.0
518880.SH,2024-12-20 10:00:00,5.877,5.879,5.87,5.879,699449,410881891.0
518880.SH,2024-12-20 10:30:00,5.879,5.879,5.87,5.872,215155,126366367.0
518880.SH,2024-12-20 11:00:00,5.871,5.873,5.866,5.869,339439,199197145.0
518880.SH,2024-12-20 11:30:00,5.869,5.871,5.866,5.87,209688,123053337.0
518880.SH,2024-12-20 13:30:00,5.871,5.873,5.868,5.869,114623,67289843.0
